name,full_name,stars,forks,watchers,commits,forks_url,watchers_url,created_at,open_issues,size,age,language_Astro,language_AutoIt,language_Batchfile,language_Brainfuck,language_C,language_C#,language_C++,language_CSS,language_Clojure,language_CoffeeScript,language_Dart,language_Dockerfile,language_Elixir,language_Erlang,language_Gherkin,language_Go,language_HTML,language_Haml,language_Haxe,language_Java,language_JavaScript,language_Jsonnet,language_Jupyter Notebook,language_Kotlin,language_Less,language_Lua,language_MATLAB,language_Makefile,language_Markdown,language_Objective-C,language_Objective-C++,language_PHP,language_PLpgSQL,language_PowerShell,language_Python,language_R,language_Rich Text Format,language_Ruby,language_Rust,language_SCSS,language_SVG,language_Scala,language_Shell,language_Smarty,language_Starlark,language_Stylus,language_Swift,language_TeX,language_TypeScript,language_Vim Script,language_Vue,language_XSLT
session,expressjs/session,5986,972,5986,https://api.github.com/repos/expressjs/session/commits{/sha},https://api.github.com/repos/expressjs/session/forks,https://api.github.com/repos/expressjs/session/subscribers,2014-02-16 00:38:44+00:00,100,671,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i3,Airblader/i3,5985,321,5985,https://api.github.com/repos/Airblader/i3/commits{/sha},https://api.github.com/repos/Airblader/i3/forks,https://api.github.com/repos/Airblader/i3/subscribers,2014-11-21 18:43:05+00:00,1,13512,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
just-the-docs,just-the-docs/just-the-docs,5985,3416,5985,https://api.github.com/repos/just-the-docs/just-the-docs/commits{/sha},https://api.github.com/repos/just-the-docs/just-the-docs/forks,https://api.github.com/repos/just-the-docs/just-the-docs/subscribers,2017-11-08 16:22:28+00:00,63,8369,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
heatmap.js,pa7/heatmap.js,5984,1305,5984,https://api.github.com/repos/pa7/heatmap.js/commits{/sha},https://api.github.com/repos/pa7/heatmap.js/forks,https://api.github.com/repos/pa7/heatmap.js/subscribers,2011-04-22 00:25:04+00:00,149,1732,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zinx,aceld/zinx,5984,1036,5984,https://api.github.com/repos/aceld/zinx/commits{/sha},https://api.github.com/repos/aceld/zinx/forks,https://api.github.com/repos/aceld/zinx/subscribers,2019-01-23 13:15:31+00:00,63,37469,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jsonschema2pojo,joelittlejohn/jsonschema2pojo,5982,1617,5982,https://api.github.com/repos/joelittlejohn/jsonschema2pojo/commits{/sha},https://api.github.com/repos/joelittlejohn/jsonschema2pojo/forks,https://api.github.com/repos/joelittlejohn/jsonschema2pojo/subscribers,2013-06-22 22:28:53+00:00,176,11731,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
progit,progit/progit,5982,2473,5982,https://api.github.com/repos/progit/progit/commits{/sha},https://api.github.com/repos/progit/progit/forks,https://api.github.com/repos/progit/progit/subscribers,2009-07-27 04:52:25+00:00,19,33201,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node-config,node-config/node-config,5981,491,5981,https://api.github.com/repos/node-config/node-config/commits{/sha},https://api.github.com/repos/node-config/node-config/forks,https://api.github.com/repos/node-config/node-config/subscribers,2010-12-02 00:33:11+00:00,60,2465,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MarkovJunior,mxgmn/MarkovJunior,5980,268,5980,https://api.github.com/repos/mxgmn/MarkovJunior/commits{/sha},https://api.github.com/repos/mxgmn/MarkovJunior/forks,https://api.github.com/repos/mxgmn/MarkovJunior/subscribers,2022-06-01 12:27:02+00:00,5,14945,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reactive,dotnet/reactive,5978,696,5978,https://api.github.com/repos/dotnet/reactive/commits{/sha},https://api.github.com/repos/dotnet/reactive/forks,https://api.github.com/repos/dotnet/reactive/subscribers,2013-09-03 22:33:51+00:00,131,42433,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EasyDarwin,EasyDarwin/EasyDarwin,5977,2136,5977,https://api.github.com/repos/EasyDarwin/EasyDarwin/commits{/sha},https://api.github.com/repos/EasyDarwin/EasyDarwin/forks,https://api.github.com/repos/EasyDarwin/EasyDarwin/subscribers,2014-10-02 02:25:52+00:00,128,288324,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KodExplorer,kalcaddle/KodExplorer,5977,1819,5977,https://api.github.com/repos/kalcaddle/KodExplorer/commits{/sha},https://api.github.com/repos/kalcaddle/KodExplorer/forks,https://api.github.com/repos/kalcaddle/KodExplorer/subscribers,2013-09-04 15:41:52+00:00,1,57734,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lkmpg,sysprog21/lkmpg,5976,356,5976,https://api.github.com/repos/sysprog21/lkmpg/commits{/sha},https://api.github.com/repos/sysprog21/lkmpg/forks,https://api.github.com/repos/sysprog21/lkmpg/subscribers,2021-07-21 22:24:43+00:00,16,5016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AndroidPicker,gzu-liyujiang/AndroidPicker,5975,1432,5975,https://api.github.com/repos/gzu-liyujiang/AndroidPicker/commits{/sha},https://api.github.com/repos/gzu-liyujiang/AndroidPicker/forks,https://api.github.com/repos/gzu-liyujiang/AndroidPicker/subscribers,2015-10-21 14:21:16+00:00,164,26178,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shadowsocksr,shadowsocksr-backup/shadowsocksr,5974,3212,5974,https://api.github.com/repos/shadowsocksr-backup/shadowsocksr/commits{/sha},https://api.github.com/repos/shadowsocksr-backup/shadowsocksr/forks,https://api.github.com/repos/shadowsocksr-backup/shadowsocksr/subscribers,2017-07-27 13:58:27+00:00,54,1744,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stash,stashapp/stash,5972,563,5972,https://api.github.com/repos/stashapp/stash/commits{/sha},https://api.github.com/repos/stashapp/stash/forks,https://api.github.com/repos/stashapp/stash/subscribers,2018-06-04 00:28:38+00:00,790,59793,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TensorFlow-Tutorials,nlintz/TensorFlow-Tutorials,5971,1554,5971,https://api.github.com/repos/nlintz/TensorFlow-Tutorials/commits{/sha},https://api.github.com/repos/nlintz/TensorFlow-Tutorials/forks,https://api.github.com/repos/nlintz/TensorFlow-Tutorials/subscribers,2015-11-10 23:02:28+00:00,16,902,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
framework,flarum/framework,5967,815,5967,https://api.github.com/repos/flarum/framework/commits{/sha},https://api.github.com/repos/flarum/framework/forks,https://api.github.com/repos/flarum/framework/subscribers,2014-12-20 05:12:03+00:00,44,106292,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bit,chriswalz/bit,5966,102,5966,https://api.github.com/repos/chriswalz/bit/commits{/sha},https://api.github.com/repos/chriswalz/bit/forks,https://api.github.com/repos/chriswalz/bit/subscribers,2020-09-11 00:50:18+00:00,29,542,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLM-130B,THUDM/GLM-130B,5966,440,5966,https://api.github.com/repos/THUDM/GLM-130B/commits{/sha},https://api.github.com/repos/THUDM/GLM-130B/forks,https://api.github.com/repos/THUDM/GLM-130B/subscribers,2022-08-03 20:21:58+00:00,75,5728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pyWhat,bee-san/pyWhat,5966,321,5966,https://api.github.com/repos/bee-san/pyWhat/commits{/sha},https://api.github.com/repos/bee-san/pyWhat/forks,https://api.github.com/repos/bee-san/pyWhat/subscribers,2021-03-19 20:59:05+00:00,24,6239,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
photopea,photopea/photopea,5966,223,5966,https://api.github.com/repos/photopea/photopea/commits{/sha},https://api.github.com/repos/photopea/photopea/forks,https://api.github.com/repos/photopea/photopea/subscribers,2015-11-21 12:05:20+00:00,103,70,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
androidmvp,antoniolg/androidmvp,5963,1605,5963,https://api.github.com/repos/antoniolg/androidmvp/commits{/sha},https://api.github.com/repos/antoniolg/androidmvp/forks,https://api.github.com/repos/antoniolg/androidmvp/subscribers,2014-04-02 05:42:20+00:00,4,327,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
codeface,chrissimpkins/codeface,5963,428,5963,https://api.github.com/repos/chrissimpkins/codeface/commits{/sha},https://api.github.com/repos/chrissimpkins/codeface/forks,https://api.github.com/repos/chrissimpkins/codeface/subscribers,2015-06-13 18:13:34+00:00,23,317804,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awesome-c-cn,jobbole/awesome-c-cn,5960,1593,5960,https://api.github.com/repos/jobbole/awesome-c-cn/commits{/sha},https://api.github.com/repos/jobbole/awesome-c-cn/forks,https://api.github.com/repos/jobbole/awesome-c-cn/subscribers,2015-11-03 10:21:59+00:00,1,126,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metaseq,facebookresearch/metaseq,5959,672,5959,https://api.github.com/repos/facebookresearch/metaseq/commits{/sha},https://api.github.com/repos/facebookresearch/metaseq/forks,https://api.github.com/repos/facebookresearch/metaseq/subscribers,2022-05-02 22:09:05+00:00,132,26743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buster,dessant/buster,5959,523,5959,https://api.github.com/repos/dessant/buster/commits{/sha},https://api.github.com/repos/dessant/buster/forks,https://api.github.com/repos/dessant/buster/subscribers,2018-11-18 08:31:52+00:00,22,1492,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vscode-go,microsoft/vscode-go,5959,687,5959,https://api.github.com/repos/microsoft/vscode-go/commits{/sha},https://api.github.com/repos/microsoft/vscode-go/forks,https://api.github.com/repos/microsoft/vscode-go/subscribers,2015-10-14 17:34:10+00:00,0,94287,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
xUtils3,wyouflf/xUtils3,5958,2001,5958,https://api.github.com/repos/wyouflf/xUtils3/commits{/sha},https://api.github.com/repos/wyouflf/xUtils3/forks,https://api.github.com/repos/wyouflf/xUtils3/subscribers,2015-10-28 10:56:04+00:00,36,9041,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenWrt-Rpi,SuLingGG/OpenWrt-Rpi,5957,1285,5957,https://api.github.com/repos/SuLingGG/OpenWrt-Rpi/commits{/sha},https://api.github.com/repos/SuLingGG/OpenWrt-Rpi/forks,https://api.github.com/repos/SuLingGG/OpenWrt-Rpi/subscribers,2020-02-03 08:09:26+00:00,37,1626,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EquinoxProject,EduardoPires/EquinoxProject,5956,1532,5956,https://api.github.com/repos/EduardoPires/EquinoxProject/commits{/sha},https://api.github.com/repos/EduardoPires/EquinoxProject/forks,https://api.github.com/repos/EduardoPires/EquinoxProject/subscribers,2016-12-14 04:36:58+00:00,9,1664,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poisontap,samyk/poisontap,5956,1023,5956,https://api.github.com/repos/samyk/poisontap/commits{/sha},https://api.github.com/repos/samyk/poisontap/forks,https://api.github.com/repos/samyk/poisontap/subscribers,2016-11-16 11:51:34+00:00,90,4458,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker,jenkinsci/docker,5956,4319,5956,https://api.github.com/repos/jenkinsci/docker/commits{/sha},https://api.github.com/repos/jenkinsci/docker/forks,https://api.github.com/repos/jenkinsci/docker/subscribers,2014-07-18 05:51:05+00:00,36,1689,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ratchet,ratchetphp/Ratchet,5955,677,5955,https://api.github.com/repos/ratchetphp/Ratchet/commits{/sha},https://api.github.com/repos/ratchetphp/Ratchet/forks,https://api.github.com/repos/ratchetphp/Ratchet/subscribers,2012-04-16 21:53:21+00:00,172,1275,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awesome-rnn,kjw0612/awesome-rnn,5955,1441,5955,https://api.github.com/repos/kjw0612/awesome-rnn/commits{/sha},https://api.github.com/repos/kjw0612/awesome-rnn/forks,https://api.github.com/repos/kjw0612/awesome-rnn/subscribers,2015-06-15 10:21:13+00:00,4,286,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
randomColor,davidmerfield/randomColor,5954,418,5954,https://api.github.com/repos/davidmerfield/randomColor/commits{/sha},https://api.github.com/repos/davidmerfield/randomColor/forks,https://api.github.com/repos/davidmerfield/randomColor/subscribers,2014-04-08 20:25:02+00:00,19,4968,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flot,flot/flot,5952,1599,5952,https://api.github.com/repos/flot/flot/commits{/sha},https://api.github.com/repos/flot/flot/forks,https://api.github.com/repos/flot/flot/subscribers,2011-01-26 15:48:51+00:00,605,4261,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android-showcase,igorwojda/android-showcase,5952,836,5952,https://api.github.com/repos/igorwojda/android-showcase/commits{/sha},https://api.github.com/repos/igorwojda/android-showcase/forks,https://api.github.com/repos/igorwojda/android-showcase/subscribers,2018-11-20 22:45:04+00:00,18,9623,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
googler,jarun/googler,5951,544,5951,https://api.github.com/repos/jarun/googler/commits{/sha},https://api.github.com/repos/jarun/googler/forks,https://api.github.com/repos/jarun/googler/subscribers,2015-08-16 03:33:02+00:00,3,2315,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mailcatcher,sj26/mailcatcher,5951,565,5951,https://api.github.com/repos/sj26/mailcatcher/commits{/sha},https://api.github.com/repos/sj26/mailcatcher/forks,https://api.github.com/repos/sj26/mailcatcher/subscribers,2010-10-25 01:29:06+00:00,40,929,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
engineering-management,charlax/engineering-management,5951,479,5951,https://api.github.com/repos/charlax/engineering-management/commits{/sha},https://api.github.com/repos/charlax/engineering-management/forks,https://api.github.com/repos/charlax/engineering-management/subscribers,2016-03-17 10:29:40+00:00,2,2424,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
material-web,material-components/material-web,5951,639,5951,https://api.github.com/repos/material-components/material-web/commits{/sha},https://api.github.com/repos/material-components/material-web/forks,https://api.github.com/repos/material-components/material-web/subscribers,2018-03-27 21:46:51+00:00,186,83488,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Swift-AI,Swift-AI/Swift-AI,5950,561,5950,https://api.github.com/repos/Swift-AI/Swift-AI/commits{/sha},https://api.github.com/repos/Swift-AI/Swift-AI/forks,https://api.github.com/repos/Swift-AI/Swift-AI/subscribers,2015-11-19 23:43:18+00:00,10,30117,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
librosa,librosa/librosa,5949,889,5949,https://api.github.com/repos/librosa/librosa/commits{/sha},https://api.github.com/repos/librosa/librosa/forks,https://api.github.com/repos/librosa/librosa/subscribers,2012-10-20 14:21:01+00:00,49,35599,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiny-care-terminal,notwaldorf/tiny-care-terminal,5949,284,5949,https://api.github.com/repos/notwaldorf/tiny-care-terminal/commits{/sha},https://api.github.com/repos/notwaldorf/tiny-care-terminal/forks,https://api.github.com/repos/notwaldorf/tiny-care-terminal/subscribers,2017-04-10 00:54:18+00:00,34,363,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
